REG AB,CLAVE CSF,TROQUEL AB,PRINCIPIO ACTIVO,NOMBRE COMERCIAL,POTENCIA,CONTENIDO,FORMA FARMACEUTICA,LABORATORIO,MONTO-FIJO A APLICAR
41319,53644212,5364421,AMLODIPINA,AMLODIPINA DENVER FARMA,10 MG,30,COMPRIMIDOS,DENVER FARMA,23.45
41318,4364391,5364391,AMLODIPINA,AMLODIPINA DENVER FARMA,5 MG,30,COMPRIMIDOS,DENVER FARMA,15.61
31082,5050071,5050071,AMLODIPINA,AMLODIPINA GEN MED,10 MG,30,COMPRIMIDOS,TECHSPHERE,23.45
31081,5049911,5049911,AMLODIPINA,AMLODIPINA GEN MED,5 MG,30,COMPRIMIDOS,TECHSPHERE,15.61
25661,37127921,3712792,AMLODIPINA,AMLODIPINA ILAB,10 MG,30,COMPRIMIDOS,INMUNOLAB,23.45
25660,37126112,3712612,AMLODIPINA,AMLODIPINA ILAB,5 MG,30,COMPRIMIDOS,INMUNOLAB,15.61
39942,5362551,5362551,AMLODIPINA,AMLODIPINA ISA,10 MG,30,COMPRIMIDOS,ISA,23.45
39941,5362421,5362421,AMLODIPINA,AMLODIPINA ISA,5 MG,30,COMPRIMIDOS,ISA,15.61
33338,5153811,5153811,AMLODIPINA,AMLODIPINA NORTHIA,10 MG,20,COMPRIMIDOS,NORTHIA,21.10
33502,5153812,5153812,AMLODIPINA,AMLODIPINA NORTHIA,10 MG,30,COMPRIMIDOS,NORTHIA,23.45
33525,5153742,5153742,AMLODIPINA,AMLODIPINA NORTHIA,5 MG,30,COMPRIMIDOS,NORTHIA,15.61
36395,5266082,5266082,AMLODIPINA,AMLODIPINA RICHET,10 MG,20,COMPRIMIDOS,RICHET,21.10
36396,5266083,5266083,AMLODIPINA,AMLODIPINA RICHET,10 MG,30,COMPRIMIDOS,RICHET,23.45
36391,5265952,5265952,AMLODIPINA,AMLODIPINA RICHET,5 MG,20,COMPRIMIDOS,RICHET,15.09
36392,5265953,5265953,AMLODIPINA,AMLODIPINA RICHET,5 MG,30,COMPRIMIDOS,RICHET,15.61
29403,4536972,4536972,AMLODIPINA,AMLODIPINA VANNIER,10 MG,30,COMPRIMIDOS,VANNIER,23.45
29402,4537041,4537042,AMLODIPINA,AMLODIPINA VANNIER,5 MG,30,COMPRIMIDOS,VANNIER,15.61
47430,6068422,6068422,AMLODIPINA,AMLOPAW,10 MG,30,COMPRIMIDOS,ROSPAW,23.45
47431,6068423,6068423,AMLODIPINA,AMLOPAW,10 MG,50,COMPRIMIDOS,ROSPAW,86.23
47427,6068392,6068392,AMLODIPINA,AMLOPAW,5 MG,30,COMPRIMIDOS,ROSPAW,15.61
47428,6068393,6068393,AMLODIPINA,AMLOPAW,5 MG,60,COMPRIMIDOS,ROSPAW,65.09
31253,4745602,4745602,AMLODIPINA,AMLOTENS,10 MG,30,COMPRIMIDOS,KLONAL,23.45
35140,5296113,5296113,AMLODIPINA,ANEXA,10 MG,30,COMPRIMIDOS,MICROSULES ARG.,81.81
35139,5296063,5296063,AMLODIPINA,ANEXA,5 MG,30,COMPRIMIDOS,MICROSULES ARG.,50.19
27355,3945443,3945443,AMLODIPINA,ANGIOFILINA,10 MG,30,COMPRIMIDOS,FABRA,81.81
27354,3945363,3945363,AMLODIPINA,ANGIOFILINA,5 MG,30,COMPRIMIDOS,FABRA,50.19
34773,0501573,5015732,AMLODIPINA,ANGIPEC,10 MG,30,COMPRIMIDOS,LEPETIT,23.45
34772,0501565,501565,AMLODIPINA,ANGIPEC,5 MG,30,COMPRIMIDOS,LEPETIT,50.19
17914,4077692,4077692,AMLODIPINA,ARTERIOSAN,10 MG,30,COMPRIMIDOS,BERNABO,81.81
17912,4077512,4077512,AMLODIPINA,ARTERIOSAN,5 MG,30,COMPRIMIDOS,BERNABO,50.19
24376,3082481,4571281,AMLODIPINA,CALPRES,10 MG,20,COMPRIMIDOS,TEMIS-LOSTALO,21.10
32072,4571283,4571283,AMLODIPINA,CALPRES,10 MG,30,COMPRIMIDOS,TEMIS-LOSTALO,81.81
24377,4571282,4571282,AMLODIPINA,CALPRES,10 MG,40,COMPRIMIDOS,TEMIS-LOSTALO,68.41
32073,4571284,4571284,AMLODIPINA,CALPRES,10 MG,60,COMPRIMIDOS,TEMIS-LOSTALO,185.51
24374,4571101,4571101,AMLODIPINA,CALPRES,5 MG,20,COMPRIMIDOS,TEMIS-LOSTALO,15.09
32070,4571103,4571103,AMLODIPINA,CALPRES,5 MG,30,COMPRIMIDOS,TEMIS-LOSTALO,50.19
24375,4571102,4571102,AMLODIPINA,CALPRES,5 MG,40,COMPRIMIDOS,TEMIS-LOSTALO,35.03
32071,4571104,4571104,AMLODIPINA,CALPRES,5 MG,60,COMPRIMIDOS,TEMIS-LOSTALO,125.86
14575,3406123,3406123,AMLODIPINA,CARDIOREX,10 MG,30,COMPRIMIDOS,BAGO,81.81
14574,3406043,3406043,AMLODIPINA,CARDIOREX,5 MG,30,COMPRIMIDOS,BAGO,50.19
32532,5128753,5128753,AMLODIPINA,CARDIVAS,10 MG,30,COMPRIMIDOS,SIDUS,23.45
32531,5128803,5128803,AMLODIPINA,CARDIVAS,5 MG,30,COMPRIMIDOS,SIDUS,15.61
12541,3571041,3571041,AMLODIPINA,COROVAL,10 MG,30,COMPRIMIDOS,NOVA ARGENTIA,81.81
12540,3570971,3570971,AMLODIPINA,COROVAL,5 MG,30,COMPRIMIDOS,NOVA ARGENTIA,50.19
42629,5766713,5766713,AMLODIPINA,FABOCEF,10 MG,30,COMPRIMIDOS,SAVANT RETAIL,23.45
42628,5766683,5766683,AMLODIPINA,FABOCEF,5 MG,30,COMPRIMIDOS,SAVANT RETAIL,15.61
34387,4538112,4538112,AMLODIPINA,HIPERTENSAL (EX ANEXA),10 MG,30,COMPRIMIDOS,FINADIET,23.45
34386,4538032,4538032,AMLODIPINA,HIPERTENSAL (EX ANEXA),5 MG,30,COMPRIMIDOS,FINADIET,15.61
28049,4843453,4843453,AMLODIPINA,ILDUC,10 MG,30,COMPRIMIDOS,BALIARDA,81.81
28048,4843373,4843373,AMLODIPINA,ILDUC,5 MG,30,COMPRIMIDOS,BALIARDA,50.19
28326,4880742,4880742,AMLODIPINA,MITOKOR,10 MG,30,COMPRIMIDOS,BIOTENK,23.45
28325,4880662,4880662,AMLODIPINA,MITOKOR,5 MG,30,COMPRIMIDOS,BIOTENK,15.61
36828,5405842,5405842,AMLODIPINA,NEXOTENSIL,10 MG,30,COMPRIMIDOS,NEXO PHARMACEUTI,23.45
36827,5405712,5405712,AMLODIPINA,NEXOTENSIL,5 MG,30,COMPRIMIDOS,NEXO PHARMACEUTI,15.61
35750,5330391,533039,AMLODIPINA,NIKOR,10 MG,30,COMPRIMIDOS,INDECO,23.45
35749,5330261,5330261,AMLODIPINA,NIKOR,5 MG,30,COMPRIMIDOS,INDECO,15.61
12884,3674761,3674761,AMLODIPINA,PELMEC,10 MG,30,COMPRIMIDOS,CASASCO,81.81
12883,3674681,3674681,AMLODIPINA,PELMEC,5 MG,30,COMPRIMIDOS,CASASCO,50.19
40153,5506132,550613,AMLODIPINA,PULTEX,10 MG,30,COMPRIMIDOS,PERMATEC,23.45
40152,5506002,550600,AMLODIPINA,PULTEX,5 MG,30,COMPRIMIDOS,PERMATEC,15.61
22473,4417751,4417751,AMLODIPINA,SINOP,10 MG,30,COMPRIMIDOS,CRAVERI,81.81
22472,4417671,4417671,AMLODIPINA,SINOP,5 MG,30,COMPRIMIDOS,CRAVERI,50.19
43909,5809422,5809422,AMLODIPINA,TENSIMED,10 MG,30,COMPRIMIDOS,LEPETIT,23.45
43908,5809392,5809392,AMLODIPINA,TENSIMED,5 MG,30,COMPRIMIDOS,LEPETIT,15.61
13688,3725821,3725821,AMLODIPINA,TERLOC,10 MG,30,COMPRIMIDOS,IVAX ARG.,81.81
46982,3725822,3725822,AMLODIPINA,TERLOC,10 MG,60,COMPRIMIDOS,IVAX ARG.,185.51
13687,3725741,3725741,AMLODIPINA,TERLOC,5 MG,30,COMPRIMIDOS,IVAX ARG.,50.19
46981,3725742,3725742,AMLODIPINA,TERLOC,5 MG,60,COMPRIMIDOS,IVAX ARG.,125.86
18175,3863351,3863351,AMLODIPINA,TERVALON,10 MG,30,COMPRIMIDOS,LAZAR,81.81
18174,3863271,3863271,AMLODIPINA,TERVALON,5 MG,30,COMPRIMIDOS,LAZAR,50.19
27042,4767301,4767301,AMLODIPINA,ZUNDIC,10 MG,30,COMPRIMIDOS,RAFFO,23.45
27041,4767221,4767221,AMLODIPINA,ZUNDIC,5 MG,30,COMPRIMIDOS,RAFFO,15.61
24743,4243671,4243671,ATENOLOL,ATEL,50 MG,30,COMPRIMIDOS,INVESTI,8.75
19789,4375503,4375503,ATENOLOL,ATENOBLOCK,50 MG,30,COMPRIMIDOS,KLONAL,14.86
13575,3687213,3687213,ATENOLOL,ATENOLOL BIOTENK,100 MG,30,COMPRIMIDOS,BIOTENK,24.72
13574,3687133,3687133,ATENOLOL,ATENOLOL BIOTENK,50 MG,30,COMPRIMIDOS,BIOTENK,14.86
40378,5595131,2697211,ATENOLOL,ATENOLOL FECOFAR,50 MG,30,COMPRIMIDOS,FECOFAR,14.86
3848,0347941,347941,ATENOLOL,ATENOLOL GADOR,100 MG,14,COMPRIMIDOS,GADOR,11.09
3849,0347942,347942,ATENOLOL,ATENOLOL GADOR,100 MG,28,COMPRIMIDOS,GADOR,32.67
10547,0347946,347946,ATENOLOL,ATENOLOL GADOR,100 MG,56,COMPRIMIDOS,GADOR,76.50
17002,3982732,3982732,ATENOLOL,ATENOLOL GADOR,25 MG,28,COMPRIMIDOS,GADOR,17.80
17003,3982733,3982733,ATENOLOL,ATENOLOL GADOR,25 MG,56,COMPRIMIDOS,GADOR,34.53
3847,0349262,349262,ATENOLOL,ATENOLOL GADOR,50 MG,28,COMPRIMIDOS,GADOR,21.73
10546,0349266,349266,ATENOLOL,ATENOLOL GADOR,50 MG,56,COMPRIMIDOS,GADOR,38.31
32512,5016961,5016961,ATENOLOL,ATENOLOL GEN MED,100 MG,30,COMPRIMIDOS,TECHSPHERE,18.97
32513,5016962,5016962,ATENOLOL,ATENOLOL GEN MED,100 MG,60,COMPRIMIDOS,TECHSPHERE,34.08
32508,5016751,5016751,ATENOLOL,ATENOLOL GEN MED,25 MG,30,COMPRIMIDOS,TECHSPHERE,12.32
32509,5016752,5016752,ATENOLOL,ATENOLOL GEN MED,25 MG,60,COMPRIMIDOS,TECHSPHERE,23.32
32510,5016801,5016801,ATENOLOL,ATENOLOL GEN MED,50 MG,30,COMPRIMIDOS,TECHSPHERE,14.86
32511,5016802,5016802,ATENOLOL,ATENOLOL GEN MED,50 MG,60,COMPRIMIDOS,TECHSPHERE,21.30
32121,3793563,3793563,ATENOLOL,ATENOLOL MICROSULES,50 MG,28,COMPRIMIDOS,MICROSULES ARG.,12.38
32122,3793564,3793564,ATENOLOL,ATENOLOL MICROSULES,50 MG,56,COMPRIMIDOS,MICROSULES ARG.,38.31
46667,5920391,5920391,ATENOLOL,ATENOLOL PUNTANOS,50 MG,30,COMPRIMIDOS,LABORATORIOS PUNTANOS,8.75
803,2900492,2900492,ATENOLOL,ATENOLOL QUESADA,100 MG,30,COMPRIMIDOS,EUROFARMA,18.97
804,8881178,2900493,ATENOLOL,ATENOLOL QUESADA,100 MG,60,COMPRIMIDOS,EUROFARMA,34.08
800,2900573,2900572,ATENOLOL,ATENOLOL QUESADA,50 MG,30,COMPRIMIDOS,EUROFARMA,8.75
801,2900493,2900573,ATENOLOL,ATENOLOL QUESADA,50 MG,60,COMPRIMIDOS,EUROFARMA,18.64
18553,4018282,4018282,ATENOLOL,ATENOLOL VANNIER,100 MG,28,COMPRIMIDOS,VANNIER,21.60
18552,4018102,4018102,ATENOLOL,ATENOLOL VANNIER,50 MG,28,COMPRIMIDOS,VANNIER,12.38
41383,3216542,9941383,ATENOLOL,ATENOPHARMA (EX FADA ATENOLOL),100 MG,30,COMPRIMIDOS,LAB INTERNACIONA,18.97
41395,3216462,3216462,ATENOLOL,ATENOPHARMA (EX FADA ATENOLOL),50 MG,30,COMPRIMIDOS,LAB INTERNACIONA,14.86
36887,5290891,5290891,ATENOLOL,CORPAZ,100 MG,30,COMPRIMIDOS,INDECO,24.72
36889,5290681,5290681,ATENOLOL,CORPAZ,25 MG,30,COMPRIMIDOS,INDECO,13.83
36888,5290731,5290731,ATENOLOL,CORPAZ,50 MG,30,COMPRIMIDOS,INDECO,14.86
38241,5299591,5299591,ATENOLOL,ILATEN,50 MG,30,COMPRIMIDOS,LEPETIT,8.75
1014,2697472,2697472,ATENOLOL,PLENACOR,100 MG,20,COMPRIMIDOS,BAGO,14.98
35434,2697476,2697476,ATENOLOL,PLENACOR,100 MG,30,COMPRIMIDOS,BAGO,24.72
1015,2697473,2697473,ATENOLOL,PLENACOR,100 MG,40,COMPRIMIDOS,BAGO,38.57
35435,2697477,2697477,ATENOLOL,PLENACOR,100 MG,60,COMPRIMIDOS,BAGO,42.23
17789,4085513,4085513,ATENOLOL,PLENACOR,25 MG,40,COMPRIMIDOS,BAGO,23.69
14573,3825313,3825313,ATENOLOL,PLENACOR,50 MG,40,COMPRIMIDOS,BAGO,36.31
4403,2608281,2608281,ATENOLOL,PRENORMINE,100 MG,14,COMPRIMIDOS,ASTRAZENECA,13.49
4404,2608283,2608283,ATENOLOL,PRENORMINE,100 MG,28,COMPRIMIDOS,ASTRAZENECA,32.67
12203,2608284,2608284,ATENOLOL,PRENORMINE,100 MG,56,COMPRIMIDOS,ASTRAZENECA,85.40
4401,2450601,2450601,ATENOLOL,PRENORMINE 50,50 MG,14,COMPRIMIDOS,ASTRAZENECA,18.77
4402,2450602,2450602,ATENOLOL,PRENORMINE 50,50 MG,28,COMPRIMIDOS,ASTRAZENECA,21.73
12202,2450603,2450603,ATENOLOL,PRENORMINE 50,50 MG,56,COMPRIMIDOS,ASTRAZENECA,54.05
5808,2647391,2647391,ATENOLOL,VERICORDIN,100 MG,28,COMPRIMIDOS,LAZAR,21.60
10765,2647392,2647392,ATENOLOL,VERICORDIN,100 MG,56,COMPRIMIDOS,LAZAR,76.50
18996,4217191,4217191,ATENOLOL,VERICORDIN,25 MG,28,COMPRIMIDOS,LAZAR,17.33
18997,4217192,4217192,ATENOLOL,VERICORDIN,25 MG,56,COMPRIMIDOS,LAZAR,32.95
4983,2959582,2959582,ATENOLOL,VERICORDIN,50 MG,28,COMPRIMIDOS,LAZAR,12.38
12127,2959583,2959583,ATENOLOL,VERICORDIN,50 MG,56,COMPRIMIDOS,LAZAR,38.31
24817,4657411,4657411,ATORVASTATIN,AMPLIAR,10 MG,30,COMPRIMIDOS,CASASCO,114.67
29238,4657412,4657412,ATORVASTATIN,AMPLIAR,10 MG,60,COMPRIMIDOS,CASASCO,237.86
24818,4657591,4657591,ATORVASTATIN,AMPLIAR,20 MG,30,COMPRIMIDOS,CASASCO,190.01
29239,4657592,4657592,ATORVASTATIN,AMPLIAR,20 MG,60,COMPRIMIDOS,CASASCO,422.22
45248,5923682,5923682,ATORVASTATIN,AMPLIAR,40 MG,30,COMPRIMIDOS,CASASCO,287.19
32526,5077473,5077473,ATORVASTATIN,ATARVA,10 MG,30,COMPRIMIDOS,DUNCAN,33.95
31571,5077313,5077313,ATORVASTATIN,ATARVA,20 MG,30,COMPRIMIDOS,DUNCAN,59.15
24436,4426581,4426581,ATORVASTATIN,ATEROCLAR,10 MG,30,COMPRIMIDOS,BETA,114.67
40643,4426582,4426582,ATORVASTATIN,ATEROCLAR,10 MG,60,COMPRIMIDOS,BETA,117.74
24438,4426661,4426661,ATORVASTATIN,ATEROCLAR,20 MG,30,COMPRIMIDOS,BETA,190.01
28943,4426741,4426741,ATORVASTATIN,ATEROCLAR,40 MG,30,COMPRIMIDOS,BETA,225.12
45111,5939711,5939711,ATORVASTATIN,ATORMAX,10 MG,30,COMPRIMIDOS,GEMINIS FARMACEU,33.95
45112,5939712,5939712,ATORVASTATIN,ATORMAX,10 MG,60,COMPRIMIDOS,GEMINIS FARMACEU,117.74
45113,5939841,5939841,ATORVASTATIN,ATORMAX,20 MG,30,COMPRIMIDOS,GEMINIS FARMACEU,59.15
45114,5939842,5939842,ATORVASTATIN,ATORMAX,20 MG,60,COMPRIMIDOS,GEMINIS FARMACEU,178.90
27323,4841713,4841713,ATORVASTATIN,ATORVASTAN,10 MG,30,COMPRIMIDOS,BIOTENK,33.95
27324,4841893,4841893,ATORVASTATIN,ATORVASTAN,20 MG,30,COMPRIMIDOS,BIOTENK,59.15
36810,5308711,5308711,ATORVASTATIN,ATORVASTATIN RICHET,10 MG,30,COMPRIMIDOS,RICHET,33.95
36811,5308712,5308712,ATORVASTATIN,ATORVASTATIN RICHET,10 MG,60,COMPRIMIDOS,RICHET,117.74
36812,5308841,5308841,ATORVASTATIN,ATORVASTATIN RICHET,20 MG,30,COMPRIMIDOS,RICHET,190.01
36813,5308842,5308842,ATORVASTATIN,ATORVASTATIN RICHET,20 MG,60,COMPRIMIDOS,RICHET,178.90
44302,5752134,5752134,ATORVASTATIN,ATORVASTATINA FABRA,10 MG,30,COMPRIMIDOS,FABRA,33.95
44303,5752264,5752264,ATORVASTATIN,ATORVASTATINA FABRA,20 MG,30,COMPRIMIDOS,FABRA,59.15
41021,5325391,5325391,ATORVASTATIN,ATORVASTATINA ISA,10 MG,30,COMPRIMIDOS,ISA,33.95
41022,5325421,5325421,ATORVASTATIN,ATORVASTATINA ISA,20 MG,30,COMPRIMIDOS,ISA,59.15
33333,5140552,5140552,ATORVASTATIN,ATORVASTATINA NORTHIA,10 MG,30,COMPRIMIDOS,NORTHIA,33.95
33334,5140602,5140602,ATORVASTATIN,ATORVASTATINA NORTHIA,20 MG,30,COMPRIMIDOS,NORTHIA,59.15
47260,5986551,5986551,ATORVASTATIN,ATORVASTATINA TAURO,10 MG,30,COMPRIMIDOS,LABORATORIOS TAURO,33.95
47261,5986552,5986552,ATORVASTATIN,ATORVASTATINA TAURO,10 MG,60,COMPRIMIDOS,LABORATORIOS TAURO,117.74
47262,5986681,5986681,ATORVASTATIN,ATORVASTATINA TAURO,20 MG,30,COMPRIMIDOS,LABORATORIOS TAURO,59.15
47263,5986682,5986682,ATORVASTATIN,ATORVASTATINA TAURO,20 MG,60,COMPRIMIDOS,LABORATORIOS TAURO,178.90
40192,53044242,5304424,ATORVASTATIN,FABOXIM,10 MG,30,COMPRIMIDOS,SAVANT RETAIL,33.95
