Nro Reg,Troquel,Producto,Presentacion,Accion Terapeutica,Monodroga,Vademecum
49456,6244261,ACTHEL,200 UI INY.GEL.F.A.,ESTIMULANTE CORT.SUPRARRENAL,ACTH,CUBIERTOS CON AUTORIZACION PREVIA
49455,2057251,ACTHEL,25 UI F.A+JER+AG+SOLV.,ESTIMULANTE CORT.SUPRARRENAL,ACTH,CUBIERTOS
49454,423411,ACTHEL,40 UI GEL F.A.+JER+AG.,ESTIMULANTE CORT.SUPRARRENAL,ACTH,CUBIERTOS
37649,3098822,ACTILYSE,50 MG INY.F.A.X 2,TROMBOLITICO,ACTIVADOR TISULAR PLASMINOGENO,CUBIERTOS CON AUTORIZACION PREVIA
32647,5133582,HUMIRA,JGA.PRELL.X 2 X 0.8 ML,TRAT.ARTRITIS REUMATOIDEA,ADALIMUMAB,CUBIERTOS CON AUTORIZACION PREVIA
48896,6202001,HUMIRA PEDIATRICO,VIAL X 0.8 ML+JGA.+ADAPT,TRAT.ARTRITIS REUMATOIDEA,ADALIMUMAB,CUBIERTOS CON AUTORIZACION PREVIA
49849,5806131,HUMIRA PEN,LAPICERA X 2 X 0.8 ML,TRAT.ARTRITIS REUMATOIDEA,ADALIMUMAB,CUBIERTOS CON AUTORIZACION PREVIA
49304,6236421,LENEMICINA,POMO X 30 GR,ANTIACNEICO,ADAPALENO+CLINDAMICINA,CUBIERTOS
47829,6100711,PANALENE CLIN,0.1% SOB.X 30+1% SOB.X30,ANTIACNEICO,ADAPALENO+CLINDAMICINA,CUBIERTOS
50460,6253421,PANALENE CLIN 1,GEL X 30 GR,ANTIACNEICO,ADAPALENO+CLINDAMICINA,CUBIERTOS
41648,5620972,REVERVIR,10 MG COMP.X 30,ANTIVIRAL,ADEFOVIR,CUBIERTOS CON AUTORIZACION PREVIA
36474,5374001,BIOVIR,10 MG COMP.X 30,TRAT.DE LA HEPATITIS B CRONICA,ADEFOVIR DIPIVOXIL,CUBIERTOS CON AUTORIZACION PREVIA
34423,5231161,HEPSERA,10 MG COMP.X 30,TRAT.DE LA HEPATITIS B CRONICA,ADEFOVIR DIPIVOXIL,CUBIERTOS CON AUTORIZACION PREVIA
23547,450057,ADENOSINA BIOL,3 MG/ML A.X 10 X 2 ML,ANTIARRITMICO,ADENOSINA,CUBIERTOS CON AUTORIZACION PREVIA
1456,964631,ADRENALINA BIOL,1O/OO A.X 10 X 1 ML,SIMPATICOMIMETICO,ADRENALINA,CUBIERTOS
3336,2757510,ADRENALINA FADA,1 MG A.X 100 X 1 ML,SIMPATICOMIMETICO,ADRENALINA,CUBIERTOS CON AUTORIZACION PREVIA
19526,9919526,ADRENALINA LARJAN,1O/OO A.X 100 X 1 ML,SIMPATICOMIMETICO,ADRENALINA,CUBIERTOS CON AUTORIZACION PREVIA
40248,5361841,EPIPEN,0.3 MG AUTOINYECTOR X 1,TRAT.ANAFILAXIS,ADRENALINA,CUBIERTOS CON AUTORIZACION PREVIA
40249,5361711,EPIPEN JR,0.15 MG AUTOINYECTOR X 1,TRAT.ANAFILAXIS,ADRENALINA,CUBIERTOS CON AUTORIZACION PREVIA
43068,5826971,VALDOXAN,25 MG COMP.X 14,ANTIDEPRESIVO,AGOMELATINA,CUBIERTOS
43069,5826972,VALDOXAN,25 MG COMP.X 28,ANTIDEPRESIVO,AGOMELATINA,CUBIERTOS CON AUTORIZACION PREVIA
47652,6078841,VESTIN,25 MG COMP.X 14,ANTIDEPRESIVO,AGOMELATINA,CUBIERTOS
47653,6078842,VESTIN,25 MG COMP.X 28,ANTIDEPRESIVO,AGOMELATINA,CUBIERTOS
49621,6236261,NEMATEL,4% SUSP.X 10 ML,ANTIPARASITARIO,ALBENDAZOL,CUBIERTOS
49620,6236132,NEMATEL,400 MG COMP.X 6,ANTIPARASITARIO,ALBENDAZOL,CUBIERTOS
48866,5771001,VERMICET,400 MG COMP.X 3,ANTIPARASITARIO,ALBENDAZOL,CUBIERTOS
48867,5771002,VERMICET,400 MG COMP.X 6,ANTIPARASITARIO,ALBENDAZOL,CUBIERTOS
48868,5876551,VERMICET,SUSP. X 30 ML,ANTIPARASITARIO,ALBENDAZOL,CUBIERTOS
48183,5996713,VERMIZOLE,2% SUSP.ORAL X 30 ML,ANTIPARASITARIO,ALBENDAZOL,CUBIERTOS
48210,5996553,VERMIZOLE,200 MG COMP.X 6,ANTIPARASITARIO,ALBENDAZOL,CUBIERTOS
48184,5996843,VERMIZOLE,4% SUSP.ORAL X 30 ML,ANTIPARASITARIO,ALBENDAZOL,CUBIERTOS
46223,5996681,VERMIZOLE,400 MG COMP.X 3,ANTIPARASITARIO,ALBENDAZOL,CUBIERTOS
46224,5996682,VERMIZOLE,400 MG COMP.X 6,ANTIPARASITARIO,ALBENDAZOL,CUBIERTOS
8502,2389322,ALBUMINA HUMANA 20%,FCO.X 50 ML,EXPANSOR COLOIDAL,ALBUMINA HUMANA,CUBIERTOS CON AUTORIZACION PREVIA
23253,2389324,ALBUMINA HUMANA 5%,FCO.X 250 ML,EXPANSOR COLOIDAL,ALBUMINA HUMANA,CUBIERTOS CON AUTORIZACION PREVIA
18646,2342793,ALBUMINA SERICA,20% INY.X 10 ML,EXPANSOR COLOIDAL,ALBUMINA HUMANA,CUBIERTOS CON AUTORIZACION PREVIA
7533,2342792,ALBUMINA SERICA,20% INY.X 20 ML,EXPANSOR COLOIDAL,ALBUMINA HUMANA,CUBIERTOS CON AUTORIZACION PREVIA
4190,2342791,ALBUMINA SERICA,20% INY.X 50ML C/EQ.PERF,EXPANSOR COLOIDAL,ALBUMINA HUMANA,CUBIERTOS CON AUTORIZACION PREVIA
44621,3795881,ALBUMINAR 20,FCO.X 50 ML,EXPANSOR COLOIDAL,ALBUMINA HUMANA,CUBIERTOS CON AUTORIZACION PREVIA
12484,3720452,ALBUTEIN 20%,F.A.X 1 X 50 ML,EXPANSOR COLOIDAL,ALBUMINA HUMANA,CUBIERTOS CON AUTORIZACION PREVIA
14164,3720871,ALBUTEIN 5%,F.A.X 1 X 500 ML,EXPANSOR COLOIDAL,ALBUMINA HUMANA,CUBIERTOS CON AUTORIZACION PREVIA
42425,9942425,ZENALB 20,20% FCO.X 50 ML,EXPANSOR COLOIDAL,ALBUMINA HUMANA,CUBIERTOS CON AUTORIZACION PREVIA
49065,6149421,LASTACAFT,FCO.GOTERO X 3 ML,ANTIALERGICO OCULAR,ALCAFTADINA,CUBIERTOS
41529,856481,ASEPTOBRON,AD.INY.A.X 1,ANTISEPTICO BALSAMICO,ALCANFOR+ASOC.,CUBIERTOS
8761,856482,ASEPTOBRON,AD.INY.A.X 5,ANTISEPTICO BALSAMICO,ALCANFOR+ASOC.,CUBIERTOS
506,2405490,PRURISEDAN,PVO.X 100 G,ANTIPRURIGINOSO,'ALCANFOR+BORICO,AC.+ASOC.',CUBIERTOS
