,BARRA,DESCRIPCIÓN,PRESENTACION,,,,LABORATORIO,PRECIO VENTA,FRACCION,,,
200006479,7703186029584,ENSURE LIQUIDO VAINILLA 237 ML 8 OZ,FCO,8399,8399,0,ABBOTT LABORATORIES S.A,3%-,0,,,
200021538,7703186029577,ENSURE PLUS HN LIQUIDO 237 ML 8 OZ,TAR,7858,7858,0,ABBOTT LABORATORIES S.A,1.10%,0,,,
200021539,8427030003191,ENSURE POLVO CHOCOLATE FOS 400 GR(M),TAR,41776,41776,0,ABBOTT LABORATORIES S.A,3%-,0,,,
200020819,8427030003177,ENSURE POLVO FRESA FOS 400 GR (M),TAR,41776,41776,0,ABBOTT LABORATORIES S.A,3%-,0,,,
200032346,8427030003184,ENSURE POLVO FRESA FOS 900 GR (A) (M),TAR,85099,85099,0,ABBOTT LABORATORIES S.A,3%-,0,,,
200032345,8427030003153,ENSURE POLVO VAINILLA FOS 400 GR (M),TAR,41776,41776,0,ABBOTT LABORATORIES S.A,3%-,0,,,
200032579,8427030003160,ENSURE POLVO VAINILLA FOS 900 GR (A) (M),TAR,85099,85099,0,ABBOTT LABORATORIES S.A,3%-,0,,,
200017436,8427030001944,GLUCERNA SR VAINILLA 400 GR,TAR,43434,43434,0,ABBOTT LABORATORIES S.A,3%-,0,,,
200017437,7703186029287,GLUCERNA SR VAINILLA 8 OZ,TAR,10168,10168,0,ABBOTT LABORATORIES S.A,0.1%,0,,,
200012843,8427030001821,GLUCERNA SR VAINILLA 900 GR (M),TAR,86757,86757,0,ABBOTT LABORATORIES S.A,3%-,0,,,
200009716,8710428010193,ISOMIL 1 IQ PLUS CON SOYA POLVO 400 GR,TAR,37404,37404,0.16,ABBOTT LABORATORIES S.A,1.28%,0,,,
200006317,7703186030184,NEPRO AP LIQUIDO 8 ONZAS,LAT,7294,7294,0,ABBOTT LABORATORIES S.A,1.10%,0,,,
200027181,7703186030191,NEPRO BP LIQUIDO 8 ONZAS,LAT,13975,13975,0,ABBOTT LABORATORIES S.A,0.1%,0,,,
200006496,7703186577030,PEDIALYTE CEREZA 500 ML,FCO,5471,5142,0,ABBOTT LABORATORIES S.A,0.5%,0,,,
200006498,7703186816511,PEDIALYTE COCO 500 ML,FCO,5471,5142,0,ABBOTT LABORATORIES S.A,0.5%,0,,,
200006454,7501033957413,PEDIALYTE CON ZINC 45 FRESA 500 ML,FCO,5471,5142,0,ABBOTT LABORATORIES S.A,0.5%,0,,,
200028618,7501033957406,PEDIALYTE CON ZINC 45 MANZANA 500 ML,FCO,5471,5142,0,ABBOTT LABORATORIES S.A,0.5%,0,,,
200028617,7501033957369,PEDIALYTE CON ZINC 60 MANZANA 500 ML,FCO,5471,5142,0,ABBOTT LABORATORIES S.A,0.5%,0,,,
200028616,7501033957376,PEDIALYTE CON ZINC 60 UVA 500 ML,FCO,5471,5142,0,ABBOTT LABORATORIES S.A,0.5%,0,,,
200027807,7703186269201,PEDIALYTE MANDARINA 500 ML,FCO,5471,5142,0,ABBOTT LABORATORIES S.A,0.5%,0,,,
200027805,7703186973337,PEDIALYTE NARANJA 500 ML,FCO,5471,5241,0,ABBOTT LABORATORIES S.A,0.5%,0,,,
200027188,7703186838513,PEDIALYTE PINA 500 ML,FCO,5471,5142,0,ABBOTT LABORATORIES S.A,0.5%,0,,,
200004360,7703186836809,PEDIALYTE UVA 500 ML,FCO,5471,5142,0,ABBOTT LABORATORIES S.A,0.5%,0,,,
200031688,7703186834010,PEDIASURE POLVO CHOCOLATE 400 GR,TAR,33376,33376,0,ABBOTT LABORATORIES S.A,3%-,0,,,
200031691,7703186027580,PEDIASURE POLVO FRESA 400 GR,TAR,33376,33376,0,ABBOTT LABORATORIES S.A,3%-,0,,,
200024877,8710428002648,PEDIASURE POLVO FRESA 900 GR(A),TAR,66090,66090,0,ABBOTT LABORATORIES S.A,3%-,0,,,
200032429,7703186976314,PEDIASURE POLVO VAINILLA 400 GR,TAR,33376,33376,0,ABBOTT LABORATORIES S.A,3%-,0,,,
200024880,8710428020024,PEDIASURE POLVO VAINILLA 900 GR (A),TAR,66090,66090,0,ABBOTT LABORATORIES S.A,3%-,0,,,
200032431,7703186028938,PEDIASURE VAINILLA 8 OZ,FCO,7073,7073,0,ABBOTT LABORATORIES S.A,3%-,0,,,
200031689,7703186029539,SIMILAC 1 IQ PLUS LIQUIDO 2 OZ 48 UDS,PAC,56834,56834,0,ABBOTT LABORATORIES S.A,3%-,0,,,
200000929,5391523050005,SIMILAC 3 KID 400 GR,TAR,28361,28361,0,ABBOTT LABORATORIES S.A,3%-,0,,,
200027081,5391523051293,SIMILAC 3 KID 850 GR,TAR,55930,55930,0,ABBOTT LABORATORIES S.A,3%-,0,,,
200027080,5391523050029,SIMILAC 400 GR ADV 1 IQ,TAR,37287,37287,0,ABBOTT LABORATORIES S.A,3%-,0,,,
200027082,5391523050043,SIMILAC 400 GR ADV 2 IQ,TAR,34236,34236,0,ABBOTT LABORATORIES S.A,3%-,0,,,
200027702,5391523051316,SIMILAC 850 GR 1 IQ,TAR,75703,75703,0,ABBOTT LABORATORIES S.A,3%-,0,,,
200030477,5391523051309,SIMILAC 850 GR 2 IQ,TAR,69376,69376,0,ABBOTT LABORATORIES S.A,3%-,0,,,
200027704,8427030004938,SIMILAC AR REFLUJO 375 GR,TAR,38869,38869,0,ABBOTT LABORATORIES S.A,3%-,0,,,
200026603,8427030005003,SIMILAC AR REFLUJO 850 GR,TAR,80110,80110,0,ABBOTT LABORATORIES S.A,3%-,0,,,
200027705,8427030003238,SIMILAC IQ SENSITIVE 375 GR SIN LACTOSA,TAR,40676,34326,0,ABBOTT LABORATORIES S.A,3%-,0,,,
200030476,7703186029508,SIMILAC MAMA 400 GR,TAR,35118,35118,0.16,ABBOTT LABORATORIES S.A,3%-,0,,,
200030878,7703186029522,SIMILAC MAMA 900 GR (A),TAR,74912,74912,0.16,ABBOTT LABORATORIES S.A,3%-,0,,,
200029131,8427030003658,SIMILAC NEOSURE 370 GR,TAR,40676,40676,0,ABBOTT LABORATORIES S.A,3%-,0,,,
200028563,8427030003733,SIMILAC TOTAL COMFORT 360 GR,TAR,41015,41015,0,ABBOTT LABORATORIES S.A,3%-,0,,,
200026607,8427030004860,SIMILAC TOTAL COMFORT 820 GR (A),TAR,81805,81805,0,ABBOTT LABORATORIES S.A,3%-,0,,,
200030099,7705105112278,PRESERVAT.ORQUIDEA ESTIMULANTE 3 UDS,UN,5164,4131,0,AJB CORPORATION S.A.S,1.45%,0,,,
200026611,7705105112261,PRESERVAT.ORQUIDEA NATURAL 3 UDS,UN,2934,2347,0,AJB CORPORATION S.A.S,1.45%,0,,,
200026605,7705105150461,PRESERVAT.ROSETEX SENSITIVO 3 UDS,UN,5164,4131,0,AJB CORPORATION S.A.S,1.45%,0,,,
200027703,7705105112254,PRESERVAT.ROYALTEX ULTRASENSIBLE 3 UDS,UN,5164,4131,0,AJB CORPORATION S.A.S,1.45%,0,,,
200026606,7705105500044,PRESERVATIVOS ROYAL TEX GOLD 3 UDS,UN,2934,2347,0,AJB CORPORATION S.A.S,1.45%,0,,,
200028561,7705105516687,PRESERVATIVOS SOXIAL DISPLAY 100 UDS,CJ,35211,35211,0,AJB CORPORATION S.A.S,1.45%,0,,,
200028544,7896548163818,AFLAREX SUSPENSION OFTALMICA 5 ML,FCO,38724,38724,0,ALCON DE COLOMBIA S.A,0.1%,0,,,
200028543,7501088618505,ALCAINE SOLUCION OFTALMICA 15 ML (R),FCO,41734,41734,0,ALCON DE COLOMBIA S.A,0.5%,0,,,
200004348,5413895021466,AZARGA SOLUCION OFTALMICA 5 ML(A),FCO,122248,113691,0,ALCON DE COLOMBIA S.A,0.5%,0,,,
200004349,7896548140185,AZOPT GOTAS 5 ML(A),FCO,80792,80792,0,ALCON DE COLOMBIA S.A,0.5%,0,,,
200032072,7501088618307,CILODEX GOTAS 5 ML (M),FCO,62466,62466,0,ALCON DE COLOMBIA S.A,0.3%,0,,,
200032076,7501088618253,CILOX 0.3% SOLUCION OFTALMICA 5 ML (M),FCO,59056,59056,0,ALCON DE COLOMBIA S.A,0.1%,0,,,
200032073,7896548140413,CYCLOGYL 1% SOLUCION OFTALMICA 15 ML,FCO,31073,31073,0,ALCON DE COLOMBIA S.A,0.1%,0,,,
200032071,5413895021565,DUOTRAV SOLUCION 2.5 ML(A),FCO,142188,132235,0,ALCON DE COLOMBIA S.A,0.3%,0,,,
200032077,3587381200030,GENTEAL GEL 3 MG 10 ML (M),TBO,42264,42264,0,ALCON DE COLOMBIA S.A,0.1%,0,,,
200032075,3587381199990,GENTEAL GOTAS LUBRICANTES 10 ML (T),FCO,30880,26426,0,ALCON DE COLOMBIA S.A,0.5%,0,,,
200032074,7702635716044,GENTEAL GOTAS LUBRICANTES 15 ML (T) (M),FCO,38755,32551,0,ALCON DE COLOMBIA S.A,0.5%,0,,,
200019298,300658051356,I CAPS OMEGA 3 60 CAPSULAS,FCO,31170,31170,0.16,ALCON DE COLOMBIA S.A,1.45%,0,,,
200019297,7896548134405,ISOPTO ATROPINA 1% SOLUC.OFTALMICA 5 ML,FCO,15917,15917,0,ALCON DE COLOMBIA S.A,0.5%,0,,,
200028500,7896548135549,ISOPTO CARPINA 2% SOL.OFTALM.15 ML,FCO,22405,22405,0,ALCON DE COLOMBIA S.A,0.1%,0,,,
200020255,5413895024528,ISOPTO MAXIDEX SUSPENSION OFTALMICA 5ML,FCO,30230,30230,0,ALCON DE COLOMBIA S.A,0.1%,0,,,
200030708,7501088616150,MAXITROL SUSPENSION 5 ML,FCO,29576,27506,0,ALCON DE COLOMBIA S.A,0.5%,0,,,
200021808,5413895024283,MAXITROL UNGUENTO 3.5 GR(R),TBO,29726,27645,0,ALCON DE COLOMBIA S.A,0.5%,0,,,
200023156,7896548166246,MYDRIACYL 1% GOTAS 15 ML,FCO,13424,13424,0,ALCON DE COLOMBIA S.A,0.3%,0,,,
200023155,5413895000973,NAPHCON FORTE GOTAS 15 ML,FCO,22940,22940,0,ALCON DE COLOMBIA S.A,0.3%,0,,,
200024414,300650645157,NATACYN 15 ML(A) E (13),FCO,409311,409311,0,ALCON DE COLOMBIA S.A,0.3%,0,,,
200028560,300650002196,NEVANAC 0.1% S.OPTALMICA 5 ML (M),UN,56180,52247,0,ALCON DE COLOMBIA S.A,0.5%,0,,,
200027664,300653144831,OPTIFREE EXPRESS SOLUCION 355 ML,FCO,33235,33235,0.16,ALCON DE COLOMBIA S.A,1.40%,0,,,
200031690,300653144848,OPTIFREE EXPRESS SOLUCION 60 ML,FCO,6909,6909,0.16,ALCON DE COLOMBIA S.A,1.40%,0,,,
200031693,300650362832,OPTIFREE PURE MOIST 120 ML,UN,15969,15969,0.16,ALCON DE COLOMBIA S.A,1.40%,0,,,
200027020,300651361544,OPTIFREE PURE MOIST 300 ML,FCO,37223,37223,0.16,ALCON DE COLOMBIA S.A,1.40%,0,,,
200027022,300651361551,OPTIFREE PURE MOIST 60 ML,FCO,7739,7739,0.16,ALCON DE COLOMBIA S.A,1.40%,0,,,
200027665,300650271622,PATANOL 0.1% SOLUCION OFTALMICA 5 ML (M),UN,71681,71681,0,ALCON DE COLOMBIA S.A,0.5%,0,,,
200027019,7896548197165,PATANOL S SOL.OFTALMICA 2.5 ML (M),UN,74695,69466,0,ALCON DE COLOMBIA S.A,0.5%,0,,,
200024532,300651433258,SYSTANE BALANCE SOL.OFTALMICA 10 ML,FCO,33909,29576,0,ALCON DE COLOMBIA S.A,0.3%,0,,,
200024531,300650454209,SYSTANE GEL GOTAS 10 ML,FCO,32761,32761,0,ALCON DE COLOMBIA S.A,0.3%,0,,,
200024530,300650429092,SYSTANE GOTAS 15 ML,FCO,34431,34431,0,ALCON DE COLOMBIA S.A,0.3%,0,,,
200024529,300658052179,SYSTANE LID WIPES PANOS 30 UDS,CJ,36751,36751,0,ALCON DE COLOMBIA S.A,0.3%,0,,,
200004293,300651431483,SYSTANE ULTRA 10 MILILITROS,FCO,28109,26141,0,ALCON DE COLOMBIA S.A,0.3%,0,,,
200031134,3700028501738,SYSTANE ULTRA UNIDOSIS 30 AMPOLLAS,CJ,42511,35863,0,ALCON DE COLOMBIA S.A,0.3%,0,,,
200022965,5413895026690,TEARS NATURALE 15 ML,FCO,26752,26752,0,ALCON DE COLOMBIA S.A,0.3%,0,,,
200019593,3700028500281,TEARS NATURALE FREE 0.03 ML X32 VIAL (M),CJ,74371,74371,0,ALCON DE COLOMBIA S.A,0.5%,0,,,
200025365,7501088616204,TOBRADEX GOTAS 5 ML (T),FCO,49285,45835,0,ALCON DE COLOMBIA S.A,0.5%,0,,,
200025364,5413895015779,TOBRADEX UNGUENTO 3.5 GR (R),TBO,62987,58578,0,ALCON DE COLOMBIA S.A,0.5%,0,,,
200005158,7501088616259,TOBREX GOTAS 5 ML,FCO,37505,37505,0,ALCON DE COLOMBIA S.A,0.5%,0,,,
200005161,5413895024221,TOBREX UNGUENTO 3.5 GR (R),TBO,61263,61263,0,ALCON DE COLOMBIA S.A,0.5%,0,,,
100008157,5413895021503,TRAVATAN 0.004% GOTAS 2.5 ML (M),FCO,137648,128013,0,ALCON DE COLOMBIA S.A,0.3%,0,,,
100008158,7896548197806,VIGADEXA GOTAS 5 ML (M),FCO,70323,70323,0,ALCON DE COLOMBIA S.A,0.3%,0,,,
100008159,300654013303,VIGAMOX 0.5% SOLUCION 5 ML (M),FCO,65811,61204,0,ALCON DE COLOMBIA S.A,0.3%,0,,,
100004725,7680486240140,VISCOTEARS GEL OFTALMICO 10 GR,FCO,41600,41600,0,ALCON DE COLOMBIA S.A,0.1%,0,,,
100004724,3596590761201,VITALUX PLUS 30 TABLETAS (IVA) (T),CJ,39072,36337,0.16,ALCON DE COLOMBIA S.A,1.40%,0,,,
100008160,7702635722137,VITALUX PLUS OMEGA 3 28 CAPSULAS,CJ,37888,35236,0.16,ALCON DE COLOMBIA S.A,1.40%,0,,,
100004739,3587381199938,VOLTAREN GOTAS 5 ML (M),FCO,55377,55377,0,ALCON DE COLOMBIA S.A,0.1%,0,,,
100007873,7898088361419,ZADITEN COLIRIO 0.025% 5 ML (M),FCO,70664,70664,0,ALCON DE COLOMBIA S.A,0.1%,0,,,
100004722,7707228366507,APLICADOR DE MADERA ALFA 20 UDS,PAQ,603,603,0.16,ALFA TRADING LTDA,1.45%,0,,,
100004740,7707228361045,BAJALENGUAS ALFA SAFE 100 UDS,CJ,3429,2805,0.16,ALFA TRADING LTDA,1.45%,0,,,
100004702,7707228361038,BAJALENGUAS ALFA SAFE 20 UDS,CJ,520,520,0.16,ALFA TRADING LTDA,1.45%,0,,,
100004726,7707228360642,BATA PACIENTE MANGA LARGA AZUL ALFA,UN,2608,2608,0.16,ALFA TRADING LTDA,1.45%,0,,,
100014000,7707228362240,BLUSA ODONTOLOGO AZUL ALFA,UN,3844,3844,0.16,ALFA TRADING LTDA,1.45%,0,,,
100000195,7707228367085,EQUIPO MACROGOTEO SIN AGUJA ALFA,UN,1015,933,0,ALFA TRADING LTDA,1.10%,0,,,
200031170,7707228365869,ESP.MICROPOROSO ALFA PIEL 1/2 3 Y.12 UDS,CJ,16171,16171,0,ALFA TRADING LTDA,1.15%,0,UNIDAD,,
100008874,7707228365876,ESP.MICROPOROSO ALFA PIEL 1/2X5 Y 12 UDS,CJ,33881,33881,0,ALFA TRADING LTDA,1.15%,0,UNIDAD,,
100020191,7707228365883,ESP.MICROPOROSO ALFA PIEL 1X3 Y.12 UDS,CJ,27721,27721,0,ALFA TRADING LTDA,1.15%,0,UNIDAD,,
100015368,7707228362158,ESP.MICROPOROSO ALFA PIEL 1X5 YARDAS,UN,4900,4492,0,ALFA TRADING LTDA,1.10%,0,,,
200026840,7707228362172,ESP.MICROPOROSO ALFA PIEL 2X5 YARDAS,UN,7969,7969,0,ALFA TRADING LTDA,1.10%,0,,,
200026839,7707228365937,ESP.TELA ALFA BLANCO 1/2 1 YD 12 UDS,CJ,13090,13090,0,ALFA TRADING LTDA,1.15%,0,UNIDAD,,
100016685,7707228365920,ESP.TELA ALFA BLANCO 1/2X5 12 UDS,CJ,36401,36401,0,ALFA TRADING LTDA,1.15%,0,UNIDAD,,
100019231,7707228365951,ESP.TELA ALFA BLANCO 1X1 12 UDS,CJ,18481,18481,0,ALFA TRADING LTDA,1.15%,0,UNIDAD,,
200004400,7707228365739,ESP.TELA ALFA BLANCO 1X5 YARDAS,UN,4270,4270,0,ALFA TRADING LTDA,1.10%,0,,,
200020600,7707228365753,ESP.TELA ALFA BLANCO 2X5 YARDAS,UN,8389,8389,0,ALFA TRADING LTDA,1.10%,0,,,
100010145,7707228365777,ESP.TELA ALFA BLANCO 3X5 YARDAS,UN,11889,11889,0,ALFA TRADING LTDA,1.10%,0,,,
100021622,7707228365791,ESP.TELA ALFA BLANCO 4X5 YARDAS,UN,17489,17489,0,ALFA TRADING LTDA,1.10%,0,,,
200030118,7707228362080,FIXOSAFE CINTA QUIRURGICA ALFA 10CM 2MTS,UN,9789,9789,0,ALFA TRADING LTDA,1.10%,0,,,
100022361,7707228362073,FIXOSAFE CINTA QUIRURGICA ALFA 5CM 10MTS,UN,13989,12834,0,ALFA TRADING LTDA,1.10%,0,,,
200024277,7707228362066,FIXOSAFE CINTA QUIRURGICA ALFA 5CM 2MTS,UN,4200,4200,0,ALFA TRADING LTDA,1.15%,0,,,
200006297,7707228361533,GASA ALFA ASEPTICA 1/2X1,UN,630,630,0,ALFA TRADING LTDA,1.20%,0,,,
200024316,7707228361557,GASA ALFA ASEPTICA 1/2X5,UN,2100,2100,0,ALFA TRADING LTDA,1.20%,0,,,
200022081,7707228361540,GASA ALFA ASEPTICA 1X1,UN,980,980,0,ALFA TRADING LTDA,1.20%,0,,,
200030445,7707228361564,GASA ALFA ASEPTICA 1X5,UN,4620,4620,0,ALFA TRADING LTDA,1.20%,0,,,
200010021,7707228361502,GASA ALFA EST.NO TEJ.3X3 50 SBS X 6 UDS,CJ,20989,19251,0,ALFA TRADING LTDA,1.20%,0,,,
200031565,7707228364619,GASA ALFA EST.NO TEJIDA 4X4 10 CM 24 UDS,CJ,5344,5344,0,ALFA TRADING LTDA,1.20%,0,,,
200027230,7707228362288,GASA ALFA EST.NO TEJIDA 7.5X7.5CM 12 X 2,CJ,5040,4620,0,ALFA TRADING LTDA,1.20%,0,,,
200025746,7707228360536,GASA ALFA ESTERIL TEJIDA 4X4 50 SBS,CJ,27978,27978,0,ALFA TRADING LTDA,1.15%,0,,,
200025745,7707228361632,GASA ALFA HOSPITALARIA (IVA),UN,39482,39482,0.16,ALFA TRADING LTDA,1.40%,0,,,
200025744,7707228360499,GASA ALFA SAFE ESTERIL 3X3 YD 100 UDS,CJ,18189,16684,0,ALFA TRADING LTDA,1.20%,0,,,
200018997,7707228360475,GASA ALFA SAFE ESTERIL 3X3X2 YD 24 UDS,CJ,5729,5729,0,ALFA TRADING LTDA,1.20%,0,,,
200018996,7707228360482,GASA ALFA SAFE ESTERIL 4X4X2 YD 24 UDS,CJ,8389,8389,0,ALFA TRADING LTDA,1.20%,0,,,
200032440,7707228360352,GORRO AJUSTABLE BLANCO ALFA 12 UDS,BOL,2608,2608,0.16,ALFA TRADING LTDA,1.40%,0,,,
200032441,7707228360673,GORRO DESECHABLE AZUL ALFA 12 UDS,UN,2722,2722,0.16,ALFA TRADING LTDA,1.40%,0,,,
200032568,7707228367061,GORRO TIPO ORUGA ALFA AZUL 12 UDS,BOL,1808,1808,0.16,ALFA TRADING LTDA,1.40%,0,,,
200032569,7707228367078,GORRO TIPO ORUGA ALFA BLANCO 12 UDS,BOL,1808,1808,0.16,ALFA TRADING LTDA,1.40%,0,,,
200032570,7707228364732,GORRO TIPO ORUGA BLANCO ALFA 100 UDS,BOL,12458,12458,0.16,ALFA TRADING LTDA,1.40%,0,,,
200018707,7707228360055,GOTERO DE VIDRIO ALFA BOLSA 20 UDS,BOL,8406,8406,0.16,ALFA TRADING LTDA,1.40%,0,,,
200018708,7707228360031,GOTERO PLASTICO ALFA BOLSA 20 UDS,BOL,7200,7200,0.16,ALFA TRADING LTDA,1.40%,0,,,
200018709,7707228360024,GUANTE CIRUGIA ALFA 6 1/2 12 UDS,DOC,6005,6005,0.16,ALFA TRADING LTDA,1.40%,0,,,
200018710,7707228361885,GUANTE CIRUGIA ALFA 6 12 UDS,DOC,6005,6005,0.16,ALFA TRADING LTDA,1.40%,0,,,
200029335,7707228360215,GUANTE CIRUGIA ALFA 7 1/2 12 UDS,DOC,6005,6005,0.16,ALFA TRADING LTDA,1.40%,0,,,
100015083,7707228360116,GUANTE CIRUGIA ALFA 7 12 UDS,DOC,6005,6005,0.16,ALFA TRADING LTDA,1.40%,0,,,
200028125,7707228360413,GUANTE CIRUGIA ALFA 8 1/2 12 UDS,DOC,6005,6005,0.16,ALFA TRADING LTDA,1.40%,0,,,
200018524,7707228360314,GUANTE CIRUGIA ALFA 8 12 UDS,DOC,6005,6005,0.16,ALFA TRADING LTDA,1.40%,0,,,
200023326,7707228360222,GUANTE ESTERIL ALFA 6 1/2,UN,727,727,0.16,ALFA TRADING LTDA,1.40%,0,,,
200023327,7707228360239,GUANTE ESTERIL ALFA 7,UN,727,675,0.16,ALFA TRADING LTDA,1.40%,0,,,
200004671,7707228360246,GUANTE ESTERIL ALFA 7 1/2,UN,727,727,0.16,ALFA TRADING LTDA,1.40%,0,,,
200009711,7707228360253,GUANTE ESTERIL ALFA 8,UN,727,727,0.16,ALFA TRADING LTDA,1.40%,0,,,
200020523,7707228360260,GUANTE ESTERIL ALFA 8 1/2,UN,727,727,0.16,ALFA TRADING LTDA,1.40%,0,,,
200004625,7707228360628,GUANTE EXAM.NITRILO AZUL ALFA T.M 100UDS,CJ,27274,27274,0.16,ALFA TRADING LTDA,1.40%,0,,,
