200019593,99176480310,CREMA DENTAL COLGATE TOTAL 12 HOR.75 ML,UN,4315,3423,0.16,COLGATE PALMOLIVE CIA.,B09,20.67
200025365,208130000062,PROTECTOR LABIAL MINI KIWI,UN,2292,2292,0.16,LAZO ANDINO S.A.S,J57,0
200025364,208130000079,PROTECTOR LABIAL MINI CEREZA,UN,2292,2292,0.16,LAZO ANDINO S.A.S,J57,0
200005161,300031876620,DUODERM CGF 20X20 5 UD8X8 H7662 (E.T)(A),CJ,427435,370049,0,BOSTON MEDICAL DEVICES,I79,13.43
100008157,300090017125,SOMESE 0.25 MG 30 TABLETAS (C),CJ,71297,68706,0,PFIZER S.A.S,F38,3.63
100008158,300090029081,XANAX 0.25 MG 30 TABLETAS (C),CJ,39434,39434,0,PFIZER S.A.S,F38,0
100008159,300090055097,XANAX 0.5 MG 30 TABLETAS (C),CJ,64178,64178,0,PFIZER S.A.S,F38,0
100004725,300090056247,MEDROL 4 MG 30 TABLETAS (T),FCO,28248,28248,0,PFIZER S.A.S,F38,0
100004724,300090073275,MEDROL 16 MG 14 TABLETAS (T),CJ,71749,71749,0,PFIZER S.A.S,F38,0
100008160,300090090074,XANAX 1 MG 30 TABLETAS (C),CJ,123272,111560,0,PFIZER S.A.S,F38,9.5
100004739,300090113124,SOLU-MEDROL 40 MG 1 ML AMP.(P)4412,UN,4487,4412,0,PFIZER S.A.S,F38,1.67
100007873,300090286163,PROVERA 5 MG 30 TABLETAS,CJ,9627,9627,0,PFIZER S.A.S,F38,0
100004730,300090422042,MOTRIN RETARD 800 MG 30 TABLETAS (M),CJ,93330,93330,0,PFIZER S.A.S,F38,0
100004729,300090422073,MOTRIN 800 MG 30 TABLETAS(A) (T),CJ,68246,68246,0,PFIZER S.A.S,F38,0
100004722,300090555368,LINCOCIN 600 MG 6 AMPOLLAS(A) (T),CJ,73105,73105,0,PFIZER S.A.S,F38,0
100004740,300090765026,SOLU-MEDROL 500 MG 4 ML AMP (A)(P)220600,AMP,54998,54998,0,PFIZER S.A.S,F38,0
100004702,300093116160,DALACIN T LOCION 30 ML (T) (M),FCO,35027,35027,0,PFIZER S.A.S,F38,0
100004726,300097385173,MOTRIN 400 MG 100 TABLETAS (A) (M),CJ,90731,90731,0,PFIZER S.A.S,F38,0
100014000,300650002196,NEVANAC 0.1% S.OPTALMICA 5 ML (M),UN,56180,56180,0,ALCON DE COLOMBIA S.A,A13,0
100000195,300650271622,PATANOL 0.1% SOLUCION OFTALMICA 5 ML (M),UN,71681,57345,0,ALCON DE COLOMBIA S.A,A13,20
200031170,300650362832,OPTIFREE PURE MOIST 120 ML,UN,15969,15969,0.16,ALCON DE COLOMBIA S.A,A13,0
100008874,300650429092,SYSTANE GOTAS 15 ML,FCO,34431,34431,0,ALCON DE COLOMBIA S.A,A13,0
100020191,300650454209,SYSTANE GEL GOTAS 10 ML,FCO,32761,32761,0,ALCON DE COLOMBIA S.A,A13,0
100015368,300650645157,NATACYN 15 ML(A) E (13),FCO,409311,357010,0,ALCON DE COLOMBIA S.A,A13,12.78
200026840,300651361544,OPTIFREE PURE MOIST 300 ML,FCO,37223,37223,0.16,ALCON DE COLOMBIA S.A,A13,0
200026839,300651361551,OPTIFREE PURE MOIST 60 ML,FCO,7739,6749,0.16,ALCON DE COLOMBIA S.A,A13,12.79
100016685,300651431483,SYSTANE ULTRA 10 MILILITROS,FCO,28109,28109,0,ALCON DE COLOMBIA S.A,A13,0
100019231,300651433258,SYSTANE BALANCE SOL.OFTALMICA 10 ML,FCO,33909,33909,0,ALCON DE COLOMBIA S.A,A13,0
200004400,300653144831,OPTIFREE EXPRESS SOLUCION 355 ML,FCO,33235,33235,0.16,ALCON DE COLOMBIA S.A,A13,0
200020600,300653144848,OPTIFREE EXPRESS SOLUCION 60 ML,FCO,6909,6909,0.16,ALCON DE COLOMBIA S.A,A13,0
100010145,300654013303,VIGAMOX 0.5% SOLUCION 5 ML (M),FCO,65811,65811,0,ALCON DE COLOMBIA S.A,A13,0
100021622,300658051356,I CAPS OMEGA 3 60 CAPSULAS,FCO,31170,31170,0.16,ALCON DE COLOMBIA S.A,A13,0
200030118,300658052179,SYSTANE LID WIPES PANOS 30 UDS,CJ,36751,36751,0,ALCON DE COLOMBIA S.A,A13,0
200024277,302993914167,CETAPHIL LOCION ULTRA HUMECT.473 GR (A),FCO,79484,79484,0.16,GALDERMA DE COLOMBIA S.A.,C49,0
200006297,302993923046,CETAPHIL JABON 127 GR,UN,22235,22235,0.16,GALDERMA DE COLOMBIA S.A.,C49,0
200024316,305210089792,TOA.DESMAQ.PONDS EVENING SOOTHE 30 UDS,UN,12137,12137,0.16,UNILEVER ANDINA COLOMBIA,G94,0
200022081,305210119338,TOA.DESMAQ.PONDS 30 UDS,UN,12137,12137,0.16,UNILEVER ANDINA COLOMBIA,G94,0
200030445,305210222892,TOA.DESMAQ.PONDS LUMINOUS CLEAN 30 UDS,UN,12137,12137,0.16,UNILEVER ANDINA COLOMBIA,G94,0
200010021,310119033227,RENU FRESH 120 ML,FCO,21819,11128,0.16,OPTICAS Y OFTALMICAS LTDA,F07,49
200031565,310119033340,RENU FRESH 355 ML GTS ESTUCHE,OFE,41560,21196,0.16,OPTICAS Y OFTALMICAS LTDA,F07,49
200027230,310119034347,RENU FRESH 60 ML,FCO,14546,7418,0.16,OPTICAS Y OFTALMICAS LTDA,F07,49
200025746,310119037799,BIO TRUE SOLUCION 60 ML,FCO,18702,7260,0.16,OPTICAS Y OFTALMICAS LTDA,F07,61.18
200025744,310119037812,BIO TRUE SOLUCION 300 ML,FCO,44677,22786,0.16,OPTICAS Y OFTALMICAS LTDA,F07,49
200018997,310119052136,RENU PLUS GOTAS HUMECTANTES 8 ML,FCO,21819,11128,0.16,OPTICAS Y OFTALMICAS LTDA,F07,49
200018996,310119056158,SIMPLUS SOLUCION 105 ML,FCO,32209,16427,0.16,OPTICAS Y OFTALMICAS LTDA,F07,49
200018707,310742039504,OXY 5 COLOR TRANSPARENTE 30 GR,UN,12099,12099,0,OPTION S.A,A45,0
200018708,310742039511,OXY 5 COLOR PIEL GEL 30 GR,UN,12099,12099,0,OPTION S.A,A45,0
200018709,310742039528,OXY 10 COLOR TRANSPARENTE 30 GR,UN,12350,12350,0,OPTION S.A,A45,0
200018710,310742039535,OXY 10 COLOR PIEL GEL 30 GR,UN,12770,12770,0,OPTION S.A,A45,0
200029335,310742039801,JABON OXY EXTRACTO ALOE VERA 90 GR,UN,3294,3294,0.16,OPTION S.A,A45,0
100015083,353885003315,ONE TOUCH ULTRA MINI PLATEADO,UN,41370,41370,0.16,JOHNSON & JOHNSON DE COLO,D50,0
200028125,381370027959,CREMA JJ BABY LIQUIDA ORIGINAL 798 ML,UN,17253,17253,0.16,JOHNSON & JOHNSON DE COLO,D50,0
200018524,381370037477,CHA.JJ BABY ANTES DE DORMIR 400 ML,UN,9537,9537,0.16,JOHNSON & JOHNSON DE COLO,D50,0
200023326,382900121031,AGUJA PARA PEN B-D 31 G X 8 MM X 100 UND,UN,32105,29092,0.16,BECTON DICKINSON,A52,9.38
200023327,382900147031,AGUJA PARA PEN B-D 31 G X 5 MM X 100 UNI,UN,32105,29092,0.16,BECTON DICKINSON,A52,9.38
200025874,382900479033,AGUJA PARA PEN B-D 32 G X 4 MM 100 UDS,CJ,32105,32105,0.16,BECTON DICKINSON,A52,0
200004671,382903001804,RECOLECTOR GUARDIAN 7.6 LITROS BD,UN,20272,20272,0.16,BECTON DICKINSON,A52,0
