registroAB,nombre,presentacion,potencia,laboratorio,monodroga,troquel,codigobarra
279,ELITOS                                      ,comp.ran.x 20           ,20 mg,Andrómaco           ,oxeladina                               ,1716371,7793742001581
280,ELITOS                                      ,liq.x 150 ml            ,5 mg/5 ml,Andrómaco           ,oxeladina                               ,1716291,7793742001567
281,ELITOS                                      ,Ped.gts.x 15 ml         ,17.5 mg/ml,Andrómaco           ,oxeladina                               ,1716111,7793742001574
283,DITROPAN                                    ,jbe.x 200 ml            ,5 mg/5 ml,Phoenix             ,oxibutinina                             ,3083631,7791848239518
286,FOLDAN                                      ,comp.x 8                ,500 mg,Andrómaco           ,tiabendazol                             ,40602,7793742000522
287,FOLDAN                                      ,cr.x 45 g               ,5 g %,Andrómaco           ,tiabendazol                             ,2058902,7793742000539
290,HIPOGLOS CON HIDROCORTISONA                 ,pda.x 10 g              , No Clasificada,Andrómaco           ,hidrocortisona+asoc.                    ,2439731,7793742000652
292,DOLEX                                       ,125 mg comp.rec.x 20    ,125 mg,Ivax Arg.           ,clonixinato lisina                      ,2660821,7795350021500
293,DOSULFIN FUERTE                             ,comp.x 10               ,800/160 mg,Investi             ,sulfametoxazol+trimetoprima             ,3026881,7792069001182
299,MACRIL                                      ,cr.x 20 g               ,0.1/0.1/2 g %,Andrómaco           ,betametasona+gentamic.+miconazol        ,2562573,7793742001437
300,DRILYNA                                     ,300 mg comp.x 40        ,300 mg Retard,Bagó                ,teofilina anhidra                       ,2821532,7790375000547
302,MEBUTAR COMPUESTO                           ,comp.rec.x 6            ,200/200 mg,Andrómaco           ,mebendazol+tinidazol                    ,2971861,7793742001772
303,MEBUTAR COMPUESTO                           ,susp.extemp.x 30 ml     ,200/200 mg/5 ml,Andrómaco           ,mebendazol+tinidazol                    ,9900303,             
304,NAPRUX                                      ,250 mg comp.x 20        ,250 mg,Valuge-Lic          ,naproxeno                               ,2416121,7793742001420
313,PRINOX                                      ,0.5 mg comp.x 50        ,0.5 mg,Andrómaco           ,alprazolam                              ,2894143,7793742009587
314,PRINOX                                      ,0.5 mg comp.x 30        ,0.5 mg,Andrómaco           ,alprazolam                              ,2894142,7793742009570
315,PRINOX                                      ,1 mg comp.x 30          ,1 mg,Andrómaco           ,alprazolam                              ,2894222,7793742009594
335,MEDICATEX                                   ,shamp.x 200 ml          , No Clasificada,Raymos              ,hierbas medicinales                     ,9900335,7790386646468
420,FLOCUR                                      ,200 mg caps.x 15        ,200 mg,Beta                ,"tolfenámico,ác.                         ",2770051,7795328053205
425,CEFACAR                                     ,250 mg susp.x 60 ml     ,250 mg/5 ml,Nova Argentia       ,cefadroxilo                             ,2884321,7798129410086
426,CEFACAR                                     ,250 mg susp.x 90 ml     ,250 mg/5 ml,Nova Argentia       ,cefadroxilo                             ,2884322,7798129410093
427,CEFACAR                                     ,500 mg comp.x 8         ,500 mg,Nova Argentia       ,cefadroxilo                             ,3120171,7798129410062
428,CEFACAR                                     ,500 mg comp.x 16        ,500 mg,Nova Argentia       ,cefadroxilo                             ,3120173,7798129410079
429,CEFACAR                                     ,1000 mg comp.x 8        ,1000 mg,Nova Argentia       ,cefadroxilo                             ,2884241,7798129410055
433,CEFALEXINA ARGENTIA                         ,250 mg susp.x 90 ml     ,250 mg/5 ml,Nova Argentia       ,cefalexina                              ,2856602,7798129410161
435,CEFALEXINA ARGENTIA                         ,500 mg comp.x 16        ,500 mg,Nova Argentia       ,cefalexina                              ,2856782,7798129410147
437,CEFALEXINA ARGENTIA DUO                     ,1 g comp. x 16          ,1000 mg,Nova Argentia       ,cefalexina                              ,2856862,7798129410130
456,GASTRIAL                                    ,150 mg comp.x 10        ,150 mg,Sanofi-Aventis      ,ranitidina                              ,2795983,7795353911105
465,GASTROSEDOL                                 ,150 mg comp.x 60        ,150 mg,Nova Argentia       ,ranitidina                              ,2772612,7798129410277
478,MADOPAR HBS                                 ,125 mg caps.x 50        ,100/25 mg Retard,Investi             ,levodopa+benserazida                    ,3071752,7792371032737
484,GRINSIL                                     ,250 mg susp.x 90 ml     ,250 mg/5 ml,Nova Argentia       ,amoxicilina                             ,2254922,7798129410338
486,GRINSIL                                     ,500 mg comp.x 16        ,500 mg,Nova Argentia       ,amoxicilina                             ,2255172,7798129410314
488,GRINSIL                                     ,500 mg susp.x 90 ml     ,500 mg/5 ml,Nova Argentia       ,amoxicilina                             ,2979382,7798129410352
499,AZACORTID                                   ,6 mg comp.x 10          ,6 mg,Sanofi-Aventis      ,deflazacort                             ,3038183,7795312004649
500,AZACORTID                                   ,30 mg comp.x 10         ,30 mg,Sanofi-Aventis      ,deflazacort                             ,3038263,7795312001519
501,GASTRIAL 300                                ,300 mg comp.x 10        ,300 mg,Sanofi-Aventis O    ,ranitidina                              ,3019613,7795353911457
520,IBU NOVALGINA                               ,400 mg comp.x 30        ,400 mg,Sanofi-Aventis O    ,ibuprofeno                              ,2869491,7795312000086
521,IBU NOVALGINA                               ,400 mg comp.x 60        ,400 mg,Sanofi-Aventis O    ,ibuprofeno                              ,2869492,7795312000093
530,ALZATEN                                     ,gts.x 20 ml             , No Clasificada,Ariston             ,fenilefrina+asoc.                       ,55971,7795349010010
537,BUTIMERIN                                   ,pasta x 30 g            , No Clasificada,Ariston             ,butimerina+asoc.                        ,55892,7795349010201
542,ERROLON A                                   ,comp.x 20               ,40/5 mg,Nova Argentia       ,furosemida+amilorida                    ,2153862,7798129412042
544,CEGLUTION 300                               ,tab.x 50                ,300 mg,Ariston             ,"litio,carbonato                         ",2469512,7795349010249
546,CUAIT D                                     ,comp.x 50               ,5/0.5 mg,Ariston             ,tranilcipromina+trifluoperazina         ,1758612,7795349021313
563,TENSOPRIL                                   ,5 mg comp.x 40          ,5 mg,Ivax Arg.           ,lisinopril                              ,3065232,7795350023825
564,TENSOPRIL                                   ,10 mg comp.x 40         ,10 mg,Ivax Arg.           ,lisinopril                              ,3065312,7795350023863
565,TENSOPRIL                                   ,20 mg comp.x 40         ,20 mg,Ivax Arg.           ,lisinopril                              ,3065492,7795350023917
566,FLUCALIN                                    ,jbe.x 100 ml            ,250/250 mg/5 ml,Ariston             ,calcio+vit.c                            ,1200641,7795349010508
574,6-COPIN                                     ,gts.x 10 ml             , No Clasificada,Ariston             ,"escopolamina,metilbrom.+asoc.           ",12641,7795349010713
577,6-COPIN                                     ,comp.x 12               , No Clasificada,Ariston             ,"escopolamina,metilbrom.+asoc.           ",398191,7795349010744
583,SOLUMERIN                                   ,sol.x 100 ml            , No Clasificada,Ariston             ,tirotricina+asoc.                       ,10742,7795349010829
585,FARLUDIOL                                   ,comp.x 30               ,2/5 mg,Pfizer              ,estradiol+medroxiprogesterona           ,3338231,7798083951434
588,VENOSTASIN                                  ,gel x 50 g              , No Clasificada,Ariston             ,escina+asoc.                            ,2313581,7795349011024
590,VENOSTASIN                                  ,comp.rec.x 50           , No Clasificada,Ariston             ,escina+asoc.                            ,398771,7795349011055
592,LUVIER                                      ,300 mg comp.x 30        ,300 mg,Casasco             ,ranitidina                              ,2868162,7791909398864
594,ALIDASE 500                                 ,comp.x 10               ,500 mg,Laboratorios Ber    ,naproxeno                               ,2778071,7792175000888
595,BUMAFLEX N S                                ,comp.x 20               ,250 mg,Takeda              ,naproxeno                               ,3728972,7795300703807
603,ALIDASE 500                                 ,comp.x 40               ,500 mg,Laboratorios Ber    ,naproxeno                               ,2778073,7792175000895
604,CLARITYNE                                   ,comp.x 10               ,10 mg,MSD Argentina SR    ,loratadina                              ,3064323,7793081028904
605,CLARITYNE                                   ,comp.x 30               ,10 mg,MSD Argentina SR    ,loratadina                              ,3064324,7793081028911
606,CLARITYNE                                   ,jbe.x 60 ml             ,5 mg/5 ml,MSD Argentina SR    ,loratadina                              ,3064401,7793081029000
607,FRAXIPARINE                                 ,jga.prell.x 1 - 0.3 ml  ,9500 UI/ml,GlaxoSmithKline     ,nadroparina cálcica                     ,3058141,7794640226014
608,FRAXIPARINE                                 ,jga.prell.x 10 - 0.3 ml ,9500 UI/ml,GlaxoSmithKline     ,nadroparina cálcica                     ,3058143,7794640226021
618,CEPOREXIN                                   ,500 mg comp.x 8         ,500 mg,Investi             ,cefalexina                              ,2434861,7795380001527
619,CEPOREXIN                                   ,500 mg comp.x 16        ,500 mg,Investi             ,cefalexina                              ,2434862,7795380003118
621,CLARVIX                                     ,comp.rec.x 50           ,80 mg,Beta                ,ginkgo biloba                           ,3040983,7795328055513
629,TEGRETOL 400 LC                             ,400 mg comp.x 60        ,400 mg Retard,Novartis            ,carbamazepina                           ,3034962,7795306150599
631,C.V.P.FORTE                                 ,comp.x 20               ,250/350 mg,Phoenix             ,vit.c+citroflavonoide                   ,3116631,7791848202116
636,NAPRUX                                      ,500 mg comp.x 20        ,500 mg,Valuge-Lic          ,naproxeno                               ,3101021,7793742002076
637,FERRANIN                                    ,gts.x 15 ml             ,50 mg/ml,Takeda              ,"hierro,polimaltosato                    ",3023231,7795300714551
639,CRONEPARINA SYNTEX                          ,a.x2 x 0.3ml+jga.desc.x2,7500 UI/0.3 ml,Ivax Arg.           ,heparina                                ,3018541,7795326022203
641,CRONEPARINA SYNTEX                          ,a.x2 x 0.5ml+jga.desc.x2,12500 UI/0.5 ml,Ivax Arg.           ,heparina                                ,3018621,7795326022401
652,FERDROMACO                                  ,comp.rec.x 30           ,37 mg,Andrómaco           ,"hierro,succinato                        ",2412401,7793742001857
661,DIANE 35                                    ,blist.grag.x 21         ,2/0.035 mg,Bayer (PH)          ,ciproterona+etinilestradiol             ,3036601,7795320010510
668,EMOTIVAL                                    ,1 mg comp.x 100         ,1 mg,Ivax Arg.           ,lorazepam                               ,2078543,7795326053900
671,EMOTIVAL                                    ,2 mg comp.x 100         ,2 mg,Ivax Arg.           ,lorazepam                               ,2078623,7795326054006
675,HELIPHENICOL                                ,susp.x 60 ml            ,15 mg/5 ml,Ariston             ,butetamato                              ,58101,7795349011642
682,JUMEX                                       ,comp.x 20               ,5 mg,Ivax Arg.           ,selegilina                              ,2575441,7795326105005
687,KALMALIN                                    ,1 mg comp.x 20          ,1 mg,Bagó                ,lorazepam                               ,2150971,7790375253035
708,TETRALGIN                                   ,comp.x 50               , No Clasificada,Craveri             ,ergotamina+cafeína+asoc.                ,1725103,7792234079503
726,PHARMATON COMPLEX                           ,caps.x 30               , No Clasificada,Boehringer Ingel    ,ginseng+vit.+minerales                  ,2634181,7795304083240
729,PIRAZINAMIDA                                ,250 mg comp.x 100       ,250 mg,Ivax Arg.           ,pirazinamida                            ,2725841,7795326172007
735,PERFUNGOL                                   ,pvo.x 60 g              , No Clasificada,Montpellier         ,clorocresol+asoc.                       ,109911,7795378000983
750,FRAXIPARINE                                 ,jga.prell.x 1 - 0.6 ml  ,9500 UI/ml,GlaxoSmithKline     ,nadroparina cálcica                     ,3058221,7794640226212
756,ULTRACAL                                    ,comp.rec.x 30           ,50/160 mg,Baliarda            ,pygeum africanum+serenoa rep.           ,3052103,7795338000572
762,POLPER B12 FORTE                            ,comp.x 30               , No Clasificada,Casasco             ,aminoácidos+vit.b12                     ,2938293,7791909415882
814,TRINITRON                                   ,comp.x 30               ,30/19.33 mg,Eurofarma           ,nitroglicerina+cafeína                  ,2486001,7798016920186
815,TRINITRON                                   ,comp.x 60               ,30/19.33 mg,Eurofarma           ,nitroglicerina+cafeína                  ,2486002,7798016920193
821,FOXETIN                                     ,20 mg comp.x 20         ,20 mg,Gador               ,fluoxetina                              ,3057311,7792183181272
851,PINKLOT                                     ,loc.x 100 ml            , No Clasificada,GlaxoSmithKline     ,"salicílico,ác.+asoc.                    ",539181,7798025010236
883,BAGO B1 B6 B12                              ,sol.x 100 ml            , No Clasificada,Bagó                ,"vit.b,complejo                          ",5711391,7790375245375
892,BAGOVIT A                                   ,Classic cr.x 200 g      ,100000 UI/100 g,Bagó                ,vit.a                                   ,109264,7790375245054
896,BAGOVIT A PLUS                              ,cr.x 100 g              ,100000/0.1 UI/g,Bagó                ,vit.a+triamcinolona                     ,109341,7790375000172
900,BIL 13                                      ,comp.x 20               , No Clasificada,Bagó                ,"dehidrocólico,ác.+asoc.                 ",704671,7790375000196
910,CEFALOMICINA                                ,500 mg iny.liof.f.a.x 1 ,500 mg,Bagó                ,cefazolina                              ,2215811,7790375000332
911,CEFALOMICINA                                ,1000 mg iny.liof.f.a.x 1,1000 mg,Bagó                ,cefazolina                              ,2215991,7790375000349
927,DRILYNA                                     ,300 mg comp.x 20        ,300 mg Retard,Bagó                ,teofilina anhidra                       ,2821531,7790375000530
930,CONFORMAL AP                                ,400 mg comp.x 30        ,400 mg Retard,Ivax Arg.           ,carbamazepina                           ,3043531,7795342001510
943,FLEBOTROPIN 300                             ,comp.x 20               ,300 mg,Bagó                ,diosmina                                ,2657791,7790375000677
944,FLEBOTROPIN 300                             ,comp.x 40               ,300 mg,Bagó                ,diosmina                                ,2657792,7790375000684
957,GLEVOMICINA                                 ,80 mg iny.a.x 4         ,40 mg/ml,Bagó                ,gentamicina                             ,2165662,7790375000738
961,GLEVOMICINA                                 ,400 mg iny.f.a.x 1 x10ml,40 mg/ml,Bagó                ,gentamicina                             ,2449051,7790375245528
965,HIPOLIXAN 600                               ,comp.x 30               ,600 mg,Bagó                ,gemfibrozil                             ,2993801,7790375000820
966,HIPOLIXAN 600                               ,comp.x 60               ,600 mg,Bagó                ,gemfibrozil                             ,2993802,7790375000837
967,VIROBRON                                    ,comp.x 30               ,15 mg,Temis-Lostaló       ,meloxicam                               ,3114992,7795337900347
968,INCORIL                                     ,60 mg comp.x 60         ,60 mg,Bagó                ,diltiazem                               ,2817592,7790375000851
969,INCORIL AP                                  ,90 mg comp.x 30         ,90 mg Retard,Bagó                ,diltiazem                               ,2817671,7790375000868
970,INCORIL AP                                  ,90 mg comp.x 60         ,90 mg Retard,Bagó                ,diltiazem                               ,2817672,7790375000875
972,KLOSIDOL                                    ,comp.x 24               ,98/400 mg,Bagó                ,dextropropoxifeno+dipirona              ,2128531,7790375245405
973,KLOSIDOL                                    ,comp.x 48               ,98/400 mg,Bagó                ,dextropropoxifeno+dipirona              ,2128532,7790375245399
974,KLOSIDOL                                    ,iny.a.x 5               ,10/300 mg/ml,Bagó                ,dextropropoxifeno+dipirona              ,2128611,7790375245382
975,KLOSIDOL                                    ,iny.a.x 10              ,10/300 mg/ml,Bagó                ,dextropropoxifeno+dipirona              ,2128612,7790375245412
976,KLOSIDOL B1 B6 B12                          ,comp.x 20               , No Clasificada,Bagó                ,dextropropoxifeno+dipirona+asoc.        ,2828641,7790375000943
977,KLOSIDOL B1 B6 B12                          ,comp.x 40               , No Clasificada,Bagó                ,dextropropoxifeno+dipirona+asoc.        ,2828642,7790375000950
978,KLOSIDOL B1 B6 B12                          ,iny.f.a.x 3             , No Clasificada,Bagó                ,dextropropoxifeno+dipirona+asoc.        ,3261251,7790375245320
979,KLOSIDOL B1 B6 B12                          ,iny.f.a.x 6             , No Clasificada,Bagó                ,dextropropoxifeno+dipirona+asoc.        ,3261252,7790375245337
980,LONGEVITAL                                  ,5000 mcg comp.x 30      , No Clasificada,Bagó                ,prasterona+procaína+asoc.               ,2059731,7790375000967
982,LONGEVITAL                                  ,10000 mcg iny.a.x 8     , No Clasificada,Bagó                ,prasterona+procaína+asoc.               ,2362171,7790375000974
988,MEGLUM                                      ,jbe.x 100 ml            ,50 mg/5 ml,Bagó                ,levamisol                               ,2608441,7790375001018
992,NASTIZOL                                    ,Ad.gts.x 15 ml          ,0.1 g %,Bagó                ,xilometazolina                          ,108191,7790375245283
993,NASTIZOL                                    ,jbe.x 150 ml            , No Clasificada,Bagó                ,pseudoefedrina+asoc.                    ,2431971,7790375001117
997,NASTIZOL COMPOSITUM                         ,jbe.x 150 ml            , No Clasificada,Bagó                ,isoefedrina+asoc.                       ,2413731,7790375001155
1009,OCTANYL                                     ,3 mg comp.x 50          ,3 mg,Bagó                ,bromazepam                              ,2819652,7790375001315
1010,OCTANYL                                     ,6 mg comp.x 50          ,6 mg,Bagó                ,bromazepam                              ,2819572,7790375001322
1011,OCTANYL                                     ,12 mg comp.x 50         ,12 mg,Bagó                ,bromazepam                              ,2819732,7790375001339
1012,PEN DI BEN                                  ,1200000 UI iny.f.a.x 1  ,1.2 MUI,Bagó                ,penicilina g benzatínica                ,105701,7790375001346
1013,PEN DI BEN                                  ,2400000 UI iny.f.a.x 1  ,2.4 MUI,Bagó                ,penicilina g benzatínica                ,105881,7790375001353
1014,PLENACOR                                    ,100 mg comp.x 20        ,100 mg,Bagó                ,atenolol                                ,2697472,7790375001384
1015,PLENACOR                                    ,100 mg comp.x 40        ,100 mg,Bagó                ,atenolol                                ,2697473,7790375001391
1018,RITMOCARDYL                                 ,200 mg comp.x 60        ,200 mg,Sanofi-Aventis      ,amiodarona                              ,2517942,7795312107709
1025,SEPTILISIN                                  ,500 mg comp.x 16        ,500 mg,Bagó                ,cefalexina                              ,2108231,7790375001476
1026,SEPTILISIN                                  ,500 mg susp.x 60 ml     ,500 mg/5 ml,Bagó                ,cefalexina                              ,2791761,7790375001483
1028,SOMALGEN                                    ,comp.x 30               ,370 mg,Bagó                ,talniflumato                            ,2693751,7790375001490
1033,TRANQUINAL                                  ,0.5 mg comp.x 50        ,0.5 mg,Bagó                ,alprazolam                              ,2766433,7790375001513
1034,TRANQUINAL                                  ,1 mg comp.x 50          ,1 mg,Bagó                ,alprazolam                              ,2766513,7790375001520
1039,TRIFACILINA FORTE                           ,jbe.x 120 ml            ,250 mg/5 ml,Bagó                ,ampicilina                              ,1757382,7790375001575
1042,TRIFACILINA                                 ,1000 mg comp.x 8        ,1000 mg,Bagó                ,ampicilina                              ,2117981,7790375001605
1043,TRIFACILINA                                 ,1000 mg comp.x 16       ,1000 mg,Bagó                ,ampicilina                              ,2117982,7790375001612
1044,TRIFACILINA                                 ,1000mg iny.liof.x1+solv.,1000 mg,Bagó                ,ampicilina                              ,106371,7790375001629
1047,TRIFACILINA                                 ,500 mg comp.x 16        ,500 mg,Bagó                ,ampicilina                              ,1538912,7790375001582
1050,TRIFACILINA                                 ,500 mg iny.liof.x1+solv.,500 mg,Bagó                ,ampicilina                              ,106291,7790375001599
1057,TRIFAMOX                                    ,250 mg jbe.x 120 ml     ,250 mg/5 ml,Bagó                ,amoxicilina                             ,2711982,7790375001704
1058,TRIFAMOX                                    ,500 mg comp.x 8         ,500 mg,Bagó                ,amoxicilina                             ,2172331,7790375001711
1059,TRIFAMOX                                    ,500 mg comp.x 16        ,500 mg,Bagó                ,amoxicilina                             ,2172332,7790375001728
1060,TRIFAMOX                                    ,500 mg jbe.x 60 ml      ,500 mg/5 ml,Bagó                ,amoxicilina                             ,2712051,7790375001742
1061,TRIFAMOX                                    ,500 mg jbe.x 120 ml     ,500 mg/5 ml,Bagó                ,amoxicilina                             ,2712052,7790375001759
1062,TRIFAMOX                                    ,500 mg iny.x 1          ,500 mg,Bagó                ,amoxicilina                             ,2712391,7790375001735
1063,TRIFAMOX                                    ,1000 mg comp.x 8        ,1000 mg,Bagó                ,amoxicilina                             ,2711561,7790375001766
1064,TRIFAMOX                                    ,1000 mg comp.x 16       ,1000 mg,Bagó                ,amoxicilina                             ,2711562,7790375001773
1065,TRIFAMOX                                    ,1000 mg iny.x 1         ,1000 mg,Bagó                ,amoxicilina                             ,2712471,7790375001780
1068,TRIFAMOX BRONQUIAL                          ,250 mg jbe.x 120 ml     ,250/15 mg/5 ml,Bagó                ,amoxicilina+brovanexina                 ,2793082,7790375001803
1070,TRIFAMOX BRONQUIAL                          ,500 mg jbe.x 120 ml     ,500/15 mg/5 ml,Bagó                ,amoxicilina+brovanexina                 ,2793162,7790375001834
1071,TRIFAMOX BRONQUIAL                          ,500 mg comp.x 16        ,500/30 mg,Bagó                ,amoxicilina+brovanexina                 ,2792832,7790375001810
1073,TRIFAMOX IBL                                ,250 mg jbe.x 60 ml      ,125/125 mg/5 ml,Bagó                ,amoxicilina+sulbactam                   ,3009971,7790375001858
1074,TRIFAMOX IBL                                ,500 mg jbe.x 60 ml      ,250/250 mg/5 ml,Bagó                ,amoxicilina+sulbactam                   ,3010021,7790375001896
1075,TRIFAMOX IBL                                ,500 mg comp.x 8         ,250/250 mg,Bagó                ,amoxicilina+sulbactam                   ,3009711,7790375001872
1076,TRIFAMOX IBL                                ,1000 mg comp.x 8        ,500/500 mg,Bagó                ,amoxicilina+sulbactam                   ,3009891,7790375001926
1121,BIOMAG                                      ,gran.sob.x 15           ,130 mg,Baliarda            ,magnesio                                ,2922771,7795338000435
1126,DIGENORFLAT                                 ,grag.x 40               , No Clasificada,Baliarda            ,"dehidrocólico,ác.+asoc.                 ",2002203,7795338000060
1127,DIGENORFLAT D                               ,grag.x 10               , No Clasificada,Baliarda            ,"dehidrocólico,ác.+asoc.                 ",2002202,7795338000473
1131,GINGERON 400                                ,400 mg grag.x 30        , No Clasificada,Baliarda            ,ginseng+minerales                       ,2646982,7795338000107
1132,GINGERON 400                                ,400 mg grag.x 18        , No Clasificada,Baliarda            ,ginseng+minerales                       ,2646981,7795338000305
1139,IKATRAL GRAGEAS                             ,grag.x 20               ,50 mg,Baliarda            ,oligómeros procianidólicos              ,2938031,7795338000480
